name,number,latitude,longitude,installdate
Eastern Market / 7th & North Carolina Ave SE,31610,38.886952,-76.996806,1282363200
21st & I St NW,31205,38.9008,-77.047,1283861040
McPherson Square / 14th & H St NW,31216,38.899641,-77.032005,1284436800
20th & Crystal Dr,31002,38.8564,-77.0492,1284464580
15th & Crystal Dr,31003,38.86017,-77.049593,1284464880
Aurora Hills Community Ctr/18th & Hayes St,31004,38.857866,-77.05949,1284464880
12th & Hayes St /  Pentagon City Metro,31005,38.862303,-77.059936,1284464940
S Joyce & Army Navy Dr,31006,38.8637,-77.0633,1284464940
Crystal City Metro / 18th & Bell St,31007,38.8573,-77.0511,1284465000
12th & Army Navy Dr,31008,38.8629,-77.0528,1284465000
27th & Crystal Dr,31009,38.848441,-77.051516,1284465060
S Glebe & Potomac Ave,31010,38.8426,-77.0502,1284465120
23rd & Crystal Dr,31011,38.8533,-77.0498,1284465120
26th & S Clark St,31012,38.850688,-77.05152,1284465300
19th St & Pennsylvania Ave NW,31100,38.9003,-77.0429,1284465360
14th & V St NW,31101,38.9176,-77.0321,1284465420
16th & Harvard St NW,31103,38.926088,-77.036536,1284465480
Adams Mill & Columbia Rd NW,31104,38.922925,-77.042581,1284465540
14th & Harvard St NW,31105,38.9268,-77.0322,1284465540
Calvert & Biltmore St NW,31106,38.923203,-77.047637,1284465600
Lamont & Mt Pleasant NW,31107,38.9319,-77.0388,1284465600
4th & M St SW,31108,38.8767,-77.0178,1284465660
15th & P St NW,31201,38.90985,-77.034438,1284465660
14th & R St NW,31202,38.912682,-77.031681,1284465720
14th & Rhode Island Ave NW,31203,38.9086,-77.0323,1284465780
20th & E St NW,31204,38.8963,-77.045,1284465840
Georgia & New Hampshire Ave NW,31400,38.936043,-77.024649,1284465900
14th St & Spring Rd NW,31401,38.9375,-77.0328,1284465960
John McCormack Dr & Michigan Ave NE,31502,38.9346,-76.9955,1284465960
5th & K St NW,31600,38.90304,-77.019027,1284466020
19th & East Capitol St SE,31601,38.8896,-76.9769,1284466020
Park Rd & Holmead Pl NW,31602,38.9308,-77.0315,1284466080
Good Hope & Naylor Rd SE,31700,38.8601,-76.9672,1284466140
Randle Circle & Minnesota Ave SE,31702,38.878,-76.9607,1284466200
Minnesota Ave Metro/DOES,31703,38.897063,-76.947446,1284466200
Anacostia Metro,31801,38.8624,-76.9949,1284466260
Massachusetts Ave & Dupont Circle NW,31200,38.9101,-77.0444,1284523200
19th & E Street NW,31206,38.8952,-77.0436,1284545040
18th & Eads St.,31001,38.85725,-77.05332,1284989400
Georgia Ave and Fairmont St NW,31207,38.9249,-77.0222,1285041600
1st & N St  SE,31209,38.8743,-77.0057,1285041600
M St & New Jersey Ave SE,31208,38.8763,-77.0037,1285041600
21st & M St NW,31212,38.90534,-77.046774,1285041600
20th St & Florida Ave NW,31110,38.9154,-77.0446,1285217520
7th & T St NW,31109,38.9155,-77.0222,1285735680
10th & U St NW,31111,38.9172,-77.0259,1285822380
Columbus Circle / Union Station,31623,38.89696,-77.00493,1285905600
USDA / 12th & Independence Ave SW,31217,38.887237,-77.028226,1286297580
Georgetown Harbor / 30th St NW,31215,38.9022212,-77.059219,1286300580
12th & Newton St NE,31501,38.933668,-76.991016,1286306220
Kennedy Center,31211,38.895184,-77.054845,1286325060
L'Enfant Plaza / 7th & C St SW,31218,38.886266,-77.022241,1286410980
Eastern Market Metro / Pennsylvania Ave & 7th St SE,31613,38.884,-76.995397,1286411820
18th & M St NW,31221,38.904742,-77.041606,1286458140
5th & F St NW,31620,38.897222,-77.019347,1286492280
10th St & Constitution Ave NW,31219,38.893028,-77.026013,1286497620
11th & Kenyon St NW,31102,38.929464,-77.027822,1286539080
13th & H St NE,31611,38.9003,-76.9882,1286547000
New York Ave & 15th St NW,31222,38.8991,-77.0337,1286631960
Convention Center / 7th & M St NW,31223,38.90572,-77.022264,1286631960
US Dept of State / Virginia Ave & 21st St NW,31220,38.894919,-77.046587,1286661900
4th St & Massachusetts Ave NW,31604,38.9003,-77.016,1287028800
4th & East Capitol St NE,31618,38.889955,-77.000349,1287028800
3rd & H St NE,31616,38.900412,-77.001949,1287096060
10th & Monroe St NE,31504,38.932514,-76.992889,1287096120
Eckington Pl & Q St NE,31505,38.910972,-77.00495,1287096120
1st & M St NE,31603,38.9057,-77.0056,1287115200
8th & H St NW,31228,38.8997,-77.023086,1287115200
Tenleytown / Wisconsin Ave & Albemarle St NW,31303,38.947607,-77.079382,1287150300
New Hampshire Ave & T St NW,31229,38.91554,-77.03818,1287178020
34th St & Wisconsin Ave NW,31226,38.916442,-77.0682,1287182760
19th & L St NW,31224,38.903407,-77.043648,1287182880
3rd & D St SE,31605,38.8851,-77.0023,1287201600
14th & D St SE,31607,38.884,-76.9861,1287374400
8th & Eye St SE / Barracks Row,31608,38.8792,-76.9953,1287374400
13th St & New York Ave NW,31227,38.900283,-77.029822,1287416880
Potomac & Pennsylvania Ave SE,31606,38.8803,-76.9862,1287460800
C & O Canal & Wisconsin Ave NW,31225,38.90375,-77.06269,1287460800
23rd & Eads St,31013,38.853613,-77.053535,1287562620
19th St & Constitution Ave NW,31235,38.8923,-77.0436,1287607080
7th & Water St SW / SW Waterfront,31609,38.878925,-77.024016,1287720000
37th & O St NW / Georgetown University,31236,38.90774,-77.071652,1288037580
Lincoln Park / 13th & East Capitol St NE,31619,38.890461,-76.988355,1288038900
13th & D St NE,31622,38.894832,-76.987633,1288114080
North Capitol St & F St NW,31624,38.897446,-77.009888,1288122720
Bladensburg Rd & Benning Rd NE,31617,38.900413,-76.982872,1288200360
25th St & Pennsylvania Ave NW,31237,38.903827,-77.053485,1288551000
Anacostia Library,31804,38.865784,-76.9784,1288584000
Pennsylvania & Minnesota Ave SE,31805,38.873057,-76.971015,1288584000
Benning Branch Library,31705,38.894,-76.947974,1288584000
36th & Calvert St NW / Glover Park,31304,38.922581,-77.070334,1289236620
14th & G St NW,31238,38.898069,-77.031823,1289237340
Connecticut Ave & Newark St NW / Cleveland Park,31305,38.934267,-77.057979,1289241840
Ward Circle / American University,31301,38.938736,-77.087171,1289538000
Van Ness Metro / UDC,31300,38.944551,-77.063896,1289624400
4th St & Rhode Island Ave NE,31500,38.919488,-77.000624,1289970000
Idaho Ave & Newark St NW,31302,38.934751,-77.074647,1289970000
14th St Heights / 14th & Crittenden St NW,31402,38.947774,-77.032818,1289970000
Florida Ave & R St NW,31503,38.9126,-77.0135,1290056400
17th & Corcoran St NW,31214,38.9121,-77.0387,1294078980
Harvard St & Adams Mill Rd NW,31112,38.927872,-77.043358,1294164840
Lynn & 19th St North,31014,38.897315,-77.070993,1302957060
Rosslyn Metro / Wilson Blvd & Ft Myer Dr,31015,38.8946,-77.072305,1302957120
Clarendon Blvd & Pierce St,31016,38.893648,-77.076701,1302957960
N Rhodes & 16th St N,31018,38.892164,-77.079375,1302963480
14th & D St NW / Ronald Reagan Building,31231,38.894514,-77.031617,1303306260
17th & K St NW / Farragut Square,31233,38.902061,-77.038322,1304022480
8th & F St NW / National Portrait Gallery,31232,38.896901,-77.022921,1304108940
4th & D St NW / Judiciary Square,31621,38.895344,-77.016106,1304481600
Metro Center / 12th & G St NW,31230,38.898364,-77.027869,1305259200
Good Hope Rd & MLK Ave SE,31802,38.867373,-76.988039,1305288720
17th & K St NW,31213,38.90276,-77.03863,1306236960
Branch & Pennsylvania Ave SE,31701,38.8692,-76.9599,1309008600
Fairfax Village,31706,38.86559,-76.952103,1311771600
20th & Bell St,31000,38.8561,-77.0512,1316059200
Court House Metro / Wilson Blvd & N Uhle St,31017,38.891696,-77.0846,1320933600
Wilson Blvd & N Edgewood St,31019,38.889,-77.0925,1321015980
Columbia Rd & Belmont St NW,31113,38.920669,-77.04368,1321625100
17th & Rhode Island Ave NW,31239,38.906602,-77.038785,1321639800
Thomas Circle,31241,38.9059,-77.0325,1321714320
Clarendon Blvd & N Fillmore St,31021,38.8881,-77.09308,1321981080
Clarendon Metro / Wilson Blvd & N Highland St,31022,38.88786,-77.094875,1321983480
18th St & Pennsylvania Ave NW,31242,38.89968,-77.041539,1322571600
7th & R St NW / Shaw Library,31245,38.912719,-77.022155,1322583120
3rd & G St SE,31625,38.881185,-77.001828,1322661660
Wilson Blvd & Franklin Rd,31020,38.8904,-77.0889,1322715600
4th & E St SW,31244,38.88412,-77.017445,1322756880
1st & Rhode Island Ave NW,31506,38.915417,-77.012289,1323178380
9th & Upshur St NW,31404,38.9418,-77.0251,1323194880
Columbia Rd & Georgia Ave NW,31115,38.928156,-77.02344,1323234000
11th & H St NE,31614,38.899983,-76.991383,1323666000
6th & H St NE,31615,38.900384,-76.99831,1323696720
California St & Florida Ave NW,31116,38.917761,-77.04062,1323752400
Anacostia Ave & Benning Rd NE / River Terrace,31708,38.896544,-76.96012,1324402320
Benning Rd & East Capitol St NE / Benning Rd Metro,31707,38.889935,-76.93723,1324404360
M St & Pennsylvania Ave NW,31246,38.905126,-77.056887,1324485480
3000 Connecticut Ave NW / National Zoo,31307,38.930282,-77.055599,1324496640
15th St & Massachusetts Ave SE,31626,38.88732,-76.983569,1324565040
Congress Heights Metro,31806,38.844711,-76.987823,1324581180
Maryland & Independence Ave SW,31243,38.887299,-77.018939,1327669020
1st & K St SE,31628,38.87861,-77.006004,1328717220
20th & O St NW / Dupont South,31234,38.908905,-77.04478,1328850000
39th & Calvert St NW / Stoddert,31306,38.922649,-77.077271,1328898300
1st & Washington Hospital Center NW,31507,38.928743,-77.012457,1329153540
Central Library / N Quincy St & 10th St N,31025,38.88397,-77.10783,1329493920
Virginia Square Metro / N Monroe St & 9th St N,31024,38.882788,-77.103148,1329508980
Washington Blvd & 10th St N,31026,38.884734,-77.093485,1329944340
D St & Maryland Ave NE,31612,38.894758,-76.997114,1330094460
Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,31240,38.88412,-77.04657,1331904960
