pair,trips,toolong,average
31000to31001,13,6,227
31000to31002,21,13,61
31000to31003,50,1,173
31000to31004,24,3,247
31000to31005,72,0,425
31000to31006,27,0,633
31000to31007,42,9,57
31000to31008,20,2,349
31000to31009,67,1,241
31000to31010,61,0,462
31000to31011,85,9,126
31000to31012,29,4,210
31000to31013,9,2,150
31000to31014,6,0,1469
31000to31015,5,0,1327
31000to31022,1,0,2802
31000to31041,4,0,1835
31000to31042,3,0,2404
31000to31045,1,0,1607
31000to31046,1,0,1316
31000to31047,3,0,2035
31000to31048,3,0,1501
31000to31052,27,0,371
31000to31054,1,0,1811
31000to31055,2,0,983
31000to31056,2,0,673
31000to31105,8,0,3018
31000to31112,1,0,2673
31000to31113,1,0,2789
31000to31200,1,0,1734
31000to31201,2,0,2266
31000to31213,1,0,1529
31000to31224,1,0,2018
31000to31230,2,0,1389
31000to31233,1,0,4266
31000to31238,1,0,1656
31000to31239,1,0,1976
31000to31240,1,0,956
31000to31241,1,0,2115
31000to31242,1,0,1570
31000to31243,1,0,1456
31000to31246,1,0,2873
31000to31247,6,0,1313
31000to31248,1,0,1089
31000to31249,27,1,972
31000to31252,2,0,1657
31000to31254,1,0,1586
31000to31258,5,0,1536
31000to31259,1,0,3789
31000to31602,3,0,3270
31000to31617,1,0,1575
31000to31620,1,0,1418
31000to31623,1,0,1578
31000to31624,16,0,1727
31001to31000,28,3,279
31001to31002,31,7,227
31001to31003,17,5,293
31001to31004,156,7,168
31001to31005,109,61,172
31001to31006,141,32,368
31001to31007,28,9,203
31001to31008,116,17,248
31001to31009,66,1,423
31001to31010,26,4,620
31001to31011,89,13,328
31001to31012,8,0,356
31001to31013,69,8,158
31001to31014,12,0,1865
31001to31015,1,0,1566
31001to31016,1,0,3287
31001to31017,1,0,1738
31001to31024,2,0,2089
31001to31027,1,0,4244
31001to31035,1,0,1413
31001to31041,5,0,2088
31001to31042,1,0,1343
31001to31043,5,0,2143
31001to31044,1,0,1323
31001to31046,5,0,1231
31001to31047,2,0,1411
31001to31048,2,0,2007
31001to31052,70,3,396
31001to31053,6,0,1100
31001to31054,1,0,979
31001to31055,16,0,802
31001to31057,4,0,1198
31001to31060,6,0,1059
31001to31101,1,0,2776
31001to31102,1,0,2670
31001to31108,1,0,1799
31001to31200,1,0,2111
31001to31205,1,0,2293
31001to31211,8,0,1447
31001to31212,1,0,2724
31001to31215,1,0,1534
31001to31216,77,0,1463
31001to31217,69,0,1236
31001to31219,1,0,1685
31001to31220,1,0,1320
31001to31222,3,0,1829
31001to31225,3,0,2656
31001to31227,4,0,1338
31001to31231,2,0,1548
31001to31232,2,0,2110
31001to31235,3,0,1097
31001to31237,2,0,2618
31001to31238,2,0,1590
31001to31240,4,0,1264
31001to31246,1,0,1684
31001to31247,8,0,1348
31001to31248,3,0,1527
31001to31249,42,0,1059
31001to31251,3,0,2031
31001to31254,9,0,1750
31001to31257,1,0,1845
31001to31258,37,0,1195
31001to31260,2,0,1525
31001to31261,1,0,1609
31001to31263,1,0,1878
31001to31264,1,0,2237
31001to31304,1,0,2099
31001to31312,1,0,1632
31001to31400,1,0,3105
31001to31602,1,0,2802
31001to31609,4,0,1612
31001to31613,1,0,2192
31001to31623,8,0,1611
31002to31000,13,6,95
31002to31001,59,10,269
31002to31003,86,12,121
31002to31004,15,2,323
31002to31005,62,4,471
31002to31006,76,3,593
31002to31007,161,12,82
31002to31008,119,18,287
31002to31009,310,4,263
31002to31010,163,8,439
31002to31011,80,13,118
31002to31012,86,6,178
31002to31013,82,1,267
31002to31014,49,1,1555
31002to31015,16,0,1704
31002to31016,1,0,1573
31002to31017,1,0,2057
31002to31018,1,0,1443
31002to31019,1,0,1920
31002to31021,1,0,1747
31002to31022,1,0,2286
31002to31030,1,0,2364
31002to31031,2,0,2278
31002to31033,1,0,1793
31002to31035,1,0,3797
31002to31036,2,0,2718
31002to31040,1,0,8236
31002to31041,54,0,1670
31002to31042,21,0,1652
31002to31043,45,0,1500
31002to31044,2,0,1522
31002to31045,4,0,1405
31002to31046,68,0,1409
31002to31047,14,0,1449
31002to31048,7,0,1461
31002to31050,1,0,1273
31002to31052,123,4,392
31002to31053,4,0,1350
31002to31055,5,0,979
31002to31056,3,0,1003
31002to31057,6,0,1321
31002to31059,2,0,1677
31002to31060,31,0,1434
31002to31065,1,0,8748
31002to31066,1,0,1620
31002to31101,3,0,2243
31002to31105,2,0,3076
31002to31106,3,0,2771
31002to31107,1,0,4336
31002to31108,27,0,1492
31002to31111,1,0,3027
31002to31200,4,0,1951
31002to31201,6,0,2511
31002to31205,1,0,3288
31002to31206,5,0,1661
31002to31207,1,0,3091
31002to31209,5,0,1659
31002to31211,4,0,1516
31002to31212,6,0,1985
31002to31213,1,0,2526
31002to31214,22,0,2737
31002to31215,6,0,1777
31002to31216,2,0,1579
31002to31217,12,0,1212
31002to31218,2,0,1340
31002to31219,1,0,2553
31002to31222,16,0,1468
31002to31225,8,0,1687
31002to31227,33,0,1434
31002to31228,2,0,1668
31002to31229,4,0,2660
31002to31230,1,0,1651
31002to31231,2,0,1446
31002to31232,25,0,1610
31002to31233,3,0,1813
31002to31234,7,0,2063
31002to31235,17,0,1214
31002to31236,13,0,1782
31002to31237,2,0,1947
31002to31238,16,0,1522
31002to31239,6,0,1686
31002to31240,63,0,1010
31002to31241,1,0,2023
31002to31242,4,0,2011
31002to31243,2,0,1715
31002to31244,16,0,1499
31002to31246,3,0,2279
31002to31247,25,0,1333
31002to31248,4,0,1259
31002to31249,298,0,961
31002to31252,2,0,1614
31002to31254,2,0,1456
31002to31256,1,0,1357
31002to31257,1,0,1314
31002to31258,63,0,1466
31002to31260,1,0,2093
31002to31261,4,0,1455
31002to31263,2,0,1426
31002to31264,3,0,1702
31002to31267,6,0,2030
31002to31270,2,0,1720
31002to31406,1,0,2498
31002to31503,1,0,2583
31002to31504,1,0,4524
31002to31602,1,0,2259
31002to31605,1,0,3532
31002to31608,2,0,2505
31002to31609,43,0,1344
31002to31612,1,0,1787
31002to31613,2,0,2402
31002to31615,2,0,2013
31002to31616,2,0,1974
31002to31620,1,0,1805
31002to31622,1,0,1781
31002to31623,29,0,1575
31002to31625,1,0,4292
31002to31627,1,0,2612
31002to31628,1,0,1278
31003to31000,95,2,165
31003to31001,36,13,375
31003to31002,44,5,153
31003to31004,18,0,495
31003to31005,134,10,376
31003to31006,160,7,420
31003to31007,23,8,179
31003to31008,85,13,156
31003to31009,37,4,423
31003to31010,109,3,520
31003to31011,222,20,216
31003to31012,85,3,249
31003to31013,36,3,301
31003to31014,5,0,1510
31003to31015,28,0,1602
31003to31028,1,0,2591
31003to31035,1,0,2572
31003to31041,8,0,1584
31003to31042,1,0,1471
31003to31043,10,0,1551
31003to31044,4,0,1667
31003to31046,2,0,2217
31003to31047,1,0,1619
31003to31048,2,0,1965
31003to31050,1,0,1237
31003to31051,1,0,2100
31003to31052,32,3,572
31003to31053,4,0,1140
31003to31057,2,0,1249
31003to31060,2,0,1466
31003to31108,1,0,1668
31003to31117,1,0,1842
31003to31200,1,0,2013
31003to31205,3,0,1800
31003to31211,2,0,1266
31003to31215,10,0,1604
31003to31216,1,0,1395
31003to31217,27,0,1262
31003to31218,1,0,2404
31003to31222,2,0,1351
31003to31223,3,0,1604
31003to31225,1,0,1361
31003to31230,2,0,1660
31003to31231,3,0,1359
31003to31232,2,0,1680
31003to31237,1,0,1616
31003to31240,5,0,1308
31003to31241,1,0,2386
31003to31243,1,0,2231
31003to31244,2,0,1726
31003to31246,2,0,2037
31003to31247,8,0,1229
31003to31248,3,0,1165
31003to31249,85,2,993
31003to31253,1,0,1885
31003to31257,1,0,2008
31003to31258,25,0,1316
31003to31260,1,0,1888
31003to31261,4,0,1492
31003to31263,1,0,1483
31003to31264,2,0,1854
31003to31308,2,0,4269
31003to31600,1,0,2127
31003to31606,1,0,1776
31003to31609,2,0,1250
31003to31620,1,0,1935
31003to31623,1,0,1562
31003to31633,1,0,1343
31004to31000,19,1,193
31004to31001,122,6,148
31004to31002,17,1,304
31004to31003,26,2,397
31004to31005,203,10,139
31004to31006,103,3,305
31004to31007,122,2,154
31004to31008,6,1,461
31004to31009,99,1,385
31004to31010,15,0,607
31004to31011,21,1,334
31004to31012,6,0,437
31004to31013,38,5,200
31004to31016,1,0,1727
31004to31039,1,0,1637
31004to31041,2,0,2004
31004to31042,1,0,1956
31004to31043,2,0,2040
31004to31046,1,0,2157
31004to31052,2,0,534
31004to31053,2,0,1291
31004to31055,1,0,507
31004to31056,4,0,846
31004to31057,3,0,975
31004to31060,6,0,1188
31004to31064,1,0,1682
31004to31066,2,0,1516
31004to31101,1,0,2943
31004to31200,1,0,1982
31004to31202,1,0,2012
31004to31209,1,0,1885
31004to31215,4,0,1719
31004to31217,4,0,1523
31004to31219,2,0,2293
31004to31220,2,0,1369
31004to31221,30,0,1619
31004to31222,1,0,1681
31004to31225,1,0,2151
31004to31227,1,0,1518
31004to31228,1,0,2062
31004to31229,1,0,1836
31004to31230,5,0,1586
31004to31236,2,0,1950
31004to31238,1,0,1351
31004to31239,6,0,1642
31004to31240,2,0,1515
31004to31243,2,0,1552
31004to31244,2,0,1218
31004to31247,1,0,1514
31004to31248,5,0,1522
31004to31249,59,0,952
31004to31254,1,0,1477
31004to31258,31,0,1072
31004to31260,5,0,1192
31004to31267,1,0,1796
31004to31312,2,0,1945
31004to31609,10,0,1292
31004to31613,1,0,2746
31004to31621,1,0,1785
31005to31000,81,1,371
31005to31001,134,20,209
31005to31002,38,5,417
31005to31003,57,4,348
31005to31004,194,5,147
31005to31006,53,7,205
31005to31007,64,4,298
31005to31008,62,6,273
31005to31009,180,0,731
31005to31010,38,2,805
31005to31011,56,1,455
31005to31012,12,1,536
31005to31013,108,3,294
31005to31014,7,0,1739
31005to31015,3,0,1497
31005to31016,1,0,1921
31005to31017,1,0,2077
31005to31020,1,0,2621
31005to31021,1,0,3823
31005to31022,1,0,1405
31005to31024,2,0,1740
31005to31026,1,0,2895
31005to31028,1,0,2425
31005to31031,2,0,1696
31005to31032,1,0,1446
31005to31037,1,0,1981
31005to31041,8,0,1666
31005to31042,1,0,1490
31005to31043,2,0,1913
31005to31044,4,0,3032
31005to31046,2,0,1441
31005to31047,3,0,1242
31005to31048,1,0,2920
31005to31050,1,0,1596
31005to31052,17,0,791
31005to31053,39,0,997
31005to31054,1,0,1050
31005to31055,61,0,759
31005to31056,24,0,911
31005to31057,53,2,1113
31005to31059,2,0,1535
31005to31060,12,0,1278
31005to31062,2,0,1626
31005to31066,20,0,686
31005to31067,4,0,906
31005to31100,1,0,1360
31005to31101,2,0,2447
31005to31102,5,0,2337
31005to31108,3,0,1671
31005to31114,1,0,2286
31005to31116,1,0,2478
31005to31201,2,0,2152
31005to31202,1,0,1994
31005to31204,1,0,1229
31005to31205,1,0,2363
31005to31206,3,0,1578
31005to31211,9,0,1446
31005to31212,2,0,1560
31005to31215,4,0,2011
31005to31217,1,0,1499
31005to31218,1,0,1507
31005to31219,1,0,1632
31005to31220,1,0,2572
31005to31221,20,0,1544
31005to31224,2,0,1526
31005to31225,1,0,4070
31005to31227,1,0,2399
31005to31229,1,0,3150
31005to31234,3,0,2054
31005to31235,6,0,1363
31005to31237,3,0,2094
31005to31239,8,0,1670
31005to31243,6,0,2098
31005to31244,42,0,1361
31005to31246,29,0,1617
31005to31247,3,0,1816
31005to31248,3,0,1861
31005to31249,52,0,1138
31005to31250,1,0,3261
31005to31255,1,0,1994
31005to31258,30,2,1292
31005to31261,26,1,1141
31005to31262,1,0,1972
31005to31272,8,0,1423
31005to31312,1,0,2752
31005to31601,1,0,18682
31005to31603,2,0,2531
31005to31609,4,0,2290
31005to31616,1,0,2064
31005to31620,2,0,1709
31006to31000,48,0,530
31006to31001,159,10,420
31006to31002,58,1,558
31006to31003,98,2,483
31006to31004,99,5,312
31006to31005,43,12,220
31006to31007,129,1,382
31006to31008,243,29,376
31006to31009,43,0,801
31006to31010,53,0,832
31006to31011,31,0,587
31006to31012,4,0,650
31006to31013,82,2,496
31006to31014,14,0,1555
31006to31015,4,0,1256
31006to31016,1,0,1573
31006to31022,63,2,1211
31006to31024,6,0,1577
31006to31027,3,0,1578
31006to31031,2,0,2202
31006to31038,1,0,2467
31006to31039,1,0,2227
31006to31042,2,0,1573
31006to31043,1,0,1853
31006to31047,7,0,1634
31006to31048,1,0,2349
31006to31050,6,0,1184
31006to31051,1,0,1201
31006to31052,26,0,714
31006to31053,41,0,933
31006to31054,5,0,1254
31006to31055,41,0,714
31006to31056,33,0,682
31006to31057,22,0,1163
31006to31058,2,0,1292
31006to31059,1,0,2025
31006to31060,22,1,1051
31006to31061,2,0,1035
31006to31062,1,0,1136
31006to31063,1,0,1431
31006to31066,17,0,624
31006to31067,1,0,1072
31006to31068,1,0,1632
31006to31100,15,0,1351
31006to31102,1,0,2890
31006to31108,2,0,3181
31006to31116,2,0,2551
31006to31200,1,0,1966
31006to31203,1,0,3300
31006to31204,3,0,1558
31006to31205,2,0,1392
31006to31206,2,0,1287
31006to31211,3,0,1599
31006to31212,2,0,1398
31006to31215,16,0,1547
31006to31216,1,0,1473
31006to31218,1,0,1951
31006to31219,2,0,1596
31006to31220,3,0,1237
31006to31221,2,0,1681
31006to31222,1,0,1561
31006to31223,1,0,2037
31006to31224,1,0,2070
31006to31225,3,0,2453
31006to31226,1,0,3354
31006to31227,5,0,1615
31006to31229,1,0,2851
31006to31232,1,0,2132
31006to31233,3,0,1593
31006to31234,4,0,1483
31006to31235,18,0,1371
31006to31236,21,0,1813
31006to31237,2,0,1603
31006to31238,2,0,1281
31006to31240,24,0,1367
31006to31242,14,0,1390
31006to31243,4,0,1657
31006to31244,7,0,1336
31006to31246,1,0,4528
31006to31247,3,0,1601
31006to31249,29,0,1239
31006to31250,14,0,1878
31006to31251,3,0,2502
31006to31253,2,0,1877
31006to31257,5,0,1423
31006to31258,68,0,1276
31006to31260,3,0,1828
31006to31261,58,0,1472
31006to31271,16,0,1547
31006to31272,3,0,1408
31006to31506,1,0,1556
31006to31602,1,0,2873
31006to31604,1,0,2041
31006to31605,1,0,1667
31006to31609,2,0,1727
31006to31618,1,0,8372
31006to31620,1,0,1757
31006to31627,1,0,2251
31006to31628,1,0,2755
31007to31000,63,7,65
31007to31001,38,17,195
31007to31002,267,22,70
31007to31003,33,15,137
31007to31004,84,2,209
31007to31005,106,9,339
31007to31006,80,1,466
31007to31008,167,9,241
31007to31009,1451,9,294
31007to31010,788,4,449
31007to31011,1279,23,154
31007to31012,693,10,195
31007to31013,434,7,173
31007to31014,115,0,1518
31007to31015,9,0,1917
31007to31026,1,0,1350
31007to31027,1,0,2388
31007to31041,12,1,1759
31007to31042,4,0,2381
31007to31043,10,0,1609
31007to31046,17,0,1380
31007to31047,4,0,1533
31007to31048,2,0,2202
31007to31052,659,3,414
31007to31053,2,0,1059
31007to31055,13,0,883
31007to31056,18,0,810
31007to31057,4,0,1481
31007to31060,17,0,1277
31007to31065,1,0,1705
31007to31066,1,0,965
31007to31100,2,0,1631
31007to31105,2,0,2965
31007to31106,36,0,3332
31007to31108,5,0,1447
31007to31113,42,0,2896
31007to31200,1,0,2074
31007to31201,19,0,2277
31007to31202,12,0,2603
31007to31203,3,0,2159
31007to31204,1,0,1441
31007to31209,1,0,1959
31007to31211,4,0,2473
31007to31213,1,0,2490
31007to31215,1,0,2482
31007to31216,37,0,1685
31007to31217,8,0,1229
31007to31218,7,0,1624
31007to31219,1,0,1842
31007to31220,1,0,1207
31007to31221,1,0,1717
31007to31222,12,0,1309
31007to31223,4,0,1978
31007to31225,1,0,2035
31007to31230,2,0,2891
31007to31231,1,0,1750
31007to31232,8,0,1684
31007to31234,1,0,1749
31007to31236,8,0,1869
31007to31237,2,0,1602
31007to31238,3,0,1521
31007to31240,3,0,1153
31007to31241,21,0,2508
31007to31242,4,0,1954
31007to31243,4,0,1560
31007to31244,21,0,1478
31007to31247,19,0,1323
31007to31248,19,0,1175
31007to31249,131,1,928
31007to31251,7,0,1505
31007to31252,37,0,1681
31007to31254,13,0,1477
31007to31255,1,0,2419
31007to31257,2,0,3447
31007to31258,24,2,1328
31007to31259,1,0,1975
31007to31260,1,0,1585
31007to31261,1,0,3257
31007to31262,1,0,1890
31007to31264,2,0,1750
31007to31265,2,0,1903
31007to31266,2,0,2701
31007to31307,1,0,3198
31007to31407,1,0,6883
31007to31609,5,0,1329
31007to31618,1,0,1996
31007to31620,59,0,1484
31007to31621,5,0,1561
31007to31623,1,0,1790
31007to31624,2,0,1728
31007to31625,1,0,1891
31007to31628,2,0,1645
31008to31000,12,2,298
31008to31001,77,6,293
31008to31002,129,46,283
31008to31003,98,10,175
31008to31004,9,0,541
31008to31005,70,14,303
31008to31006,183,12,452
31008to31007,209,5,216
31008to31009,63,1,480
31008to31010,94,2,685
31008to31011,77,10,453
31008to31012,70,12,631
31008to31013,62,2,369
31008to31014,29,0,1475
31008to31015,3,0,1616
31008to31026,1,0,1763
31008to31035,1,0,1808
31008to31041,8,0,1918
31008to31042,1,0,2068
31008to31043,4,0,1649
31008to31044,4,0,1485
31008to31045,1,0,22183
31008to31046,1,0,1550
31008to31047,1,0,1496
31008to31048,6,1,2105
31008to31052,13,1,781
31008to31053,3,0,1101
31008to31055,4,0,728
31008to31057,1,0,1049
31008to31060,2,0,1542
31008to31066,1,0,1480
31008to31067,1,0,1029
31008to31108,1,0,1527
31008to31200,3,0,1992
31008to31201,2,0,2059
31008to31204,2,0,1018
31008to31211,2,0,2759
31008to31212,1,0,1572
31008to31213,3,0,1716
31008to31216,2,0,1580
31008to31217,20,0,1357
31008to31218,4,0,2135
31008to31220,1,0,1015
31008to31222,2,0,2506
31008to31225,1,0,2084
31008to31228,1,0,1881
31008to31232,1,0,1913
31008to31233,1,0,1387
31008to31234,4,0,1861
31008to31235,11,0,1512
31008to31237,2,0,2476
31008to31238,2,0,1564
31008to31240,11,0,1186
31008to31241,1,0,1910
31008to31243,7,1,1941
31008to31247,3,0,1321
31008to31249,55,0,1180
31008to31258,55,0,1475
31008to31259,2,0,1273
31008to31261,22,0,1181
31008to31265,1,0,2335
31008to31269,1,0,1414
31008to31609,5,0,1572
31008to31614,1,0,3702
31009to31000,12,0,334
31009to31001,34,2,572
31009to31002,317,4,245
31009to31003,27,0,404
31009to31004,62,2,454
31009to31005,109,2,748
31009to31006,42,0,881
31009to31007,1142,5,317
31009to31008,62,0,521
31009to31010,325,18,177
31009to31011,116,5,177
31009to31012,68,4,129
31009to31013,133,0,282
31009to31014,2,0,1681
31009to31036,1,0,2631
31009to31041,5,0,1884
31009to31042,4,0,1235
31009to31043,2,0,1613
31009to31044,17,0,1389
31009to31045,6,0,1330
31009to31046,11,0,1144
31009to31047,12,0,1318
31009to31048,1,0,1291
31009to31052,79,3,155
31009to31053,1,0,2947
31009to31055,1,0,602
31009to31056,4,0,867
31009to31057,4,0,1023
31009to31060,3,0,980
31009to31105,1,0,2573
31009to31108,7,0,1416
31009to31200,1,0,2071
31009to31203,1,0,2511
31009to31219,1,0,1859
31009to31220,3,0,1655
31009to31224,1,0,2013
31009to31225,1,0,2252
31009to31231,2,0,2186
31009to31233,3,0,2011
31009to31240,6,0,1087
31009to31242,2,0,1596
31009to31247,2,0,1640
31009to31248,1,0,1785
31009to31249,70,0,995
31009to31253,1,0,3972
31009to31255,1,0,2668
31009to31258,2,0,2094
31009to31261,3,0,1554
31009to31609,2,0,1518
31009to31613,1,0,2108
31010to31000,10,0,515
31010to31001,18,1,727
31010to31002,200,5,415
31010to31003,104,2,567
31010to31004,11,0,759
31010to31005,38,0,888
31010to31006,52,0,857
31010to31007,340,1,440
31010to31008,43,1,864
31010to31009,319,15,184
31010to31011,140,5,379
31010to31012,174,4,283
31010to31013,67,1,453
31010to31014,1,0,2021
31010to31015,1,0,2933
31010to31037,1,0,2588
31010to31041,57,0,1467
31010to31042,55,0,1379
31010to31043,21,0,1530
31010to31044,70,0,1023
31010to31045,10,0,1243
31010to31046,8,0,1300
31010to31047,39,0,1039
31010to31048,15,0,1125
31010to31050,1,0,1813
31010to31052,25,16,66
31010to31055,10,0,767
31010to31056,1,0,1105
31010to31057,35,0,941
31010to31060,22,0,1086
31010to31061,1,0,820
31010to31100,1,0,1853
31010to31203,1,0,1979
31010to31205,2,0,2241
31010to31206,1,0,1601
31010to31208,1,0,2332
31010to31211,1,0,1303
31010to31219,9,0,1690
31010to31222,1,0,1673
31010to31228,1,0,1881
31010to31231,4,0,1498
